filename,complete,dname_f,alg_f,k_or_tol_f,mtype_f,perm_mode_f,omp_threads_f,alg,mtype,k,tol,dname,dfile,perm_mode,tensor_shape,time_transform_matrix,time_data_to_pystarm,compression_ratio,time_compress_ttm_total,time_slicewise_svd,time_slicewise_svdvals,time_thresholds,time_slicewise_svdks,time_reconstruct_matmul,time_reconstruct_ttm_total,absolute_err,relative_err,norm_original,norm_reconstructed
traffic_tsvdmii_0.001_hosvd_0321_64,True,traffic,tsvdmii,0.001,hosvd,0321,64,tsvdmii,hosvd,None,0.001,traffic,data/traffic.bin,"(0, 3, 2, 1)","(120, 120, 3, 160)",0.5479576400248334,1.9407016225159168e-05,0.5677058179990341,0.0509781000437215,,0.018943450995720923,0.005307846004143357,0.11490830697584897,0.04401414992753416,0.012888734927400947,341.60811976691247,0.0009995570752922987,341759.493490671,341759.32276222145
traffic_tsvdmii_0.01_dct_0123_64,True,traffic,tsvdmii,0.01,dct,0123,64,tsvdmii,dct,None,0.01,traffic,data/traffic.bin,"(0, 1, 2, 3)","(120, 160, 3, 120)",0.0005296210292726755,9.879004210233688e-06,1.9280345484153687,0.031821486074477434,,0.009221102925948799,0.0036475040251389146,0.0494418271118775,0.038189357961528,0.011329899076372385,3417.2206993883024,0.009998904974037194,341759.493490671,341742.4088311129
traffic_tsvdmii_0.01_dct_0321_64,True,traffic,tsvdmii,0.01,dct,0321,64,tsvdmii,dct,None,0.01,traffic,data/traffic.bin,"(0, 3, 2, 1)","(120, 120, 3, 160)",0.0006865839241072536,8.675968274474144e-06,1.9663031623002334,0.043853410985320807,,0.012731902999803424,0.004925278015434742,0.06457919999957085,0.03567690192721784,0.013796214945614338,3417.0498755241847,0.00999840513755168,341759.493490671,341742.4105392074
traffic_tsvdmii_0.01_eye_0123_64,False,traffic,tsvdmii,0.01,eye,0123,64,tsvdmii,eye,None,0.01,traffic,data/traffic.bin,"(0, 1, 2, 3)","(120, 160, 3, 120)",2.1939631551504135e-06,3.9946986362338066e-05,0.8106602764618948,,,0.03159516991581768,0.003276037983596325,0.07550639205146581,0.04909212200436741,,,,,
traffic_tsvdmii_0.01_eye_0321_64,False,traffic,tsvdmii,0.01,eye,0321,64,tsvdmii,eye,None,0.01,traffic,data/traffic.bin,"(0, 3, 2, 1)","(120, 120, 3, 160)",2.3739412426948547e-06,3.838399425148964e-05,1.8408535253729912,,,0.03077224304433912,0.004807631019502878,0.07262302096933126,0.04657779401168227,,,,,
traffic_tsvdmii_0.01_hosvd_0123_64,True,traffic,tsvdmii,0.01,hosvd,0123,64,tsvdmii,hosvd,None,0.01,traffic,data/traffic.bin,"(0, 1, 2, 3)","(120, 160, 3, 120)",0.6371451430022717,3.4856959246098995e-05,0.8469464163028363,0.047188640921376646,,0.01408221700694412,0.004258391913026571,0.08063027309253812,0.037524174083955586,0.011830884963274002,3417.2002474419182,0.009998845130940591,341759.493490671,341742.4090356197
traffic_tsvdmii_0.01_hosvd_0321_64,True,traffic,tsvdmii,0.01,hosvd,0321,64,tsvdmii,hosvd,None,0.01,traffic,data/traffic.bin,"(0, 3, 2, 1)","(120, 120, 3, 160)",0.5949396040523425,3.015901893377304e-05,0.877857975737235,0.06907335401047021,,0.013366366038098931,0.005257798940874636,0.076139081036672,0.03976488602347672,0.014125089976005256,3417.3010750717876,0.009999140156043886,341759.493490671,341742.4080273944
traffic_tsvdmii_0.025_dct_0123_64,True,traffic,tsvdmii,0.025,dct,0123,64,tsvdmii,dct,None,0.025,traffic,data/traffic.bin,"(0, 1, 2, 3)","(120, 160, 3, 120)",0.0005407539429143071,9.868992492556572e-06,4.561918540186067,0.03132260392885655,,0.011451013037003577,0.003612615983001888,0.03375169902574271,0.03528392396401614,0.01147005904931575,8541.263502607342,0.024992029966361396,341759.493490671,341652.7450625545
traffic_tsvdmii_0.025_dct_0321_64,True,traffic,tsvdmii,0.025,dct,0321,64,tsvdmii,dct,None,0.025,traffic,data/traffic.bin,"(0, 3, 2, 1)","(120, 120, 3, 160)",0.0006728579755872488,1.1121039278805256e-05,4.3005694894753645,0.0355986300855875,,0.009331775945611298,0.004923003958538175,0.036776522058062255,0.030230980017222464,0.013336098054423928,8541.593914333378,0.024992996762404608,341759.493490671,341652.736802155
traffic_tsvdmii_0.025_eye_0123_64,False,traffic,tsvdmii,0.025,eye,0123,64,tsvdmii,eye,None,0.025,traffic,data/traffic.bin,"(0, 1, 2, 3)","(120, 160, 3, 120)",2.1940795704722404e-06,3.8673984818160534e-05,1.064658274267801,,,0.03178844298236072,0.003331374959088862,0.05697819008491933,0.058461450971663,,,,,
traffic_tsvdmii_0.025_eye_0321_64,False,traffic,tsvdmii,0.025,eye,0321,64,tsvdmii,eye,None,0.025,traffic,data/traffic.bin,"(0, 3, 2, 1)","(120, 120, 3, 160)",2.08395067602396e-06,3.970600664615631e-05,3.0098119346532903,,,0.04990961903240532,0.004758315975777805,0.04655230406206101,0.04025312699377537,,,,,
traffic_tsvdmii_0.025_hosvd_0123_64,True,traffic,tsvdmii,0.025,hosvd,0123,64,tsvdmii,hosvd,None,0.025,traffic,data/traffic.bin,"(0, 1, 2, 3)","(120, 160, 3, 120)",0.5604227159637958,2.0941020920872688e-05,1.2521820794483443,0.05213652295060456,,0.014014234999194741,0.0043465119088068604,0.05965384002774954,0.035560247022658587,0.011623675003647804,8542.772976795799,0.024996446739610444,341759.493490671,341652.70732260693
traffic_tsvdmii_0.025_hosvd_0321_64,True,traffic,tsvdmii,0.025,hosvd,0321,64,tsvdmii,hosvd,None,0.025,traffic,data/traffic.bin,"(0, 3, 2, 1)","(120, 120, 3, 160)",0.6230572579661384,2.970709465444088e-05,1.4237030491591562,0.0850836019963026,,0.011854721931740642,0.004874270060099661,0.052001183037646115,0.043468146934174,0.014720316976308823,8543.408439056242,0.02499830612398029,341759.493490671,341652.691432752
traffic_tsvdmii_0.050_dct_0123_64,True,traffic,tsvdmii,0.050,dct,0123,64,tsvdmii,dct,None,0.05,traffic,data/traffic.bin,"(0, 1, 2, 3)","(120, 160, 3, 120)",0.0005541089922189713,9.00693703442812e-06,11.814536392259017,0.03138189995661378,,0.00985507492441684,0.0036241390043869615,0.024720893939957023,0.03228773607406765,0.010969624854624271,17080.095613925423,0.04997694559841586,341759.493490671,341332.4211451631
traffic_tsvdmii_0.050_dct_0321_64,True,traffic,tsvdmii,0.050,dct,0321,64,tsvdmii,dct,None,0.05,traffic,data/traffic.bin,"(0, 3, 2, 1)","(120, 120, 3, 160)",0.0006726569263264537,8.836970664560795e-06,11.851445423682316,0.03407110599800944,,0.009711318067274988,0.004958212957717478,0.026645204052329063,0.02789532602764666,0.013728355057537556,17081.757242053143,0.049981807579309936,341759.493490671,341332.33799410734
traffic_tsvdmii_0.050_eye_0123_64,False,traffic,tsvdmii,0.050,eye,0123,64,tsvdmii,eye,None,0.05,traffic,data/traffic.bin,"(0, 1, 2, 3)","(120, 160, 3, 120)",2.444954589009285e-06,3.9275968447327614e-05,1.5265850411893052,,,0.05144984996877611,0.0033227279782295227,0.04178770596627146,0.049770590965636075,,,,,
traffic_tsvdmii_0.050_eye_0321_64,False,traffic,tsvdmii,0.050,eye,0321,64,tsvdmii,eye,None,0.05,traffic,data/traffic.bin,"(0, 3, 2, 1)","(120, 120, 3, 160)",2.283952198922634e-06,3.7371995858848095e-05,5.0476061114592055,,,0.030786349903792143,0.004786861012689769,0.03174465801566839,0.03352084395010024,,,,,
traffic_tsvdmii_0.050_hosvd_0123_64,True,traffic,tsvdmii,0.050,hosvd,0123,64,tsvdmii,hosvd,None,0.05,traffic,data/traffic.bin,"(0, 1, 2, 3)","(120, 160, 3, 120)",0.5507238949649036,2.4306937120854855e-05,2.10850889496685,0.08229460287839174,,0.01145002106204629,0.0056647639721632,0.044503103010356426,0.03301807399839163,0.011143559939227998,17085.11874498579,0.049991643452187415,341759.493490671,341332.169753262
traffic_tsvdmii_0.050_hosvd_0321_64,True,traffic,tsvdmii,0.050,hosvd,0321,64,tsvdmii,hosvd,None,0.05,traffic,data/traffic.bin,"(0, 3, 2, 1)","(120, 120, 3, 160)",0.5646806249860674,2.555898390710354e-05,2.901122590057779,0.04683446302078664,,0.014106345013715327,0.00497323099989444,0.031441205996088684,0.038860946078784764,0.013001394108869135,17085.80782038574,0.04999365971044235,341759.493490671,341332.13526142633
traffic_tsvdmii_0.1_dct_0123_64,True,traffic,tsvdmii,0.1,dct,0123,64,tsvdmii,dct,None,0.1,traffic,data/traffic.bin,"(0, 1, 2, 3)","(120, 160, 3, 120)",0.0005348710110411048,9.348965249955654e-06,64.90201785932263,0.03249206894543022,,0.011363693978637457,0.003598830080591142,0.016509648063220084,0.033118637977167964,0.011782631976529956,34135.184684785745,0.09988072119412107,341759.493490671,340050.4970699725
traffic_tsvdmii_0.1_dct_0321_64,True,traffic,tsvdmii,0.1,dct,0321,64,tsvdmii,dct,None,0.1,traffic,data/traffic.bin,"(0, 3, 2, 1)","(120, 120, 3, 160)",0.0006715951021760702,8.486909791827202e-06,77.72492662685963,0.03539850900415331,,0.010038360022008419,0.004890842013992369,0.013719077920541167,0.011312506976537406,0.011806649970822036,34138.30625660397,0.09988985502032835,341759.493490671,340050.1837037149
traffic_tsvdmii_0.1_eye_0123_64,False,traffic,tsvdmii,0.1,eye,0123,64,tsvdmii,eye,None,0.1,traffic,data/traffic.bin,"(0, 1, 2, 3)","(120, 160, 3, 120)",2.2739404812455177e-06,4.069798160344362e-05,3.4335377957402673,,,0.029976838966831565,0.0033164260676130652,0.025220596930012107,0.0381268470082432,,,,,
traffic_tsvdmii_0.1_eye_0321_64,False,traffic,tsvdmii,0.1,eye,0321,64,tsvdmii,eye,None,0.1,traffic,data/traffic.bin,"(0, 3, 2, 1)","(120, 120, 3, 160)",2.425047568976879e-06,4.017702303826809e-05,14.806658712086321,,,0.04307266802061349,0.004799375077709556,0.018088564975187182,0.02913267503026873,,,,,
traffic_tsvdmii_0.1_hosvd_0123_64,True,traffic,tsvdmii,0.1,hosvd,0123,64,tsvdmii,hosvd,None,0.1,traffic,data/traffic.bin,"(0, 1, 2, 3)","(120, 160, 3, 120)",0.5496957720024511,2.1811923943459988e-05,5.475927152422813,0.054481255938299,,0.01487077702768147,0.004269625060260296,0.028666202095337212,0.029564945958554745,0.011137007968500257,34171.87461835249,0.09998807719816943,341759.493490671,340046.81203632464
traffic_tsvdmii_0.1_hosvd_0321_64,True,traffic,tsvdmii,0.1,hosvd,0321,64,tsvdmii,hosvd,None,0.1,traffic,data/traffic.bin,"(0, 3, 2, 1)","(120, 120, 3, 160)",0.5432540120091289,2.4848035536706448e-05,12.651300364054347,0.06871566188056022,,0.012771481066010892,0.005261386977508664,0.01608988002408296,0.02931637899018824,0.01370948099065572,34166.849136219374,0.09997337246507837,341759.493490671,340047.3170179447
traffic_tsvdmii_0.25_dct_0123_64,True,traffic,tsvdmii,0.25,dct,0123,64,tsvdmii,dct,None,0.25,traffic,data/traffic.bin,"(0, 1, 2, 3)","(120, 160, 3, 120)",0.0005257540615275502,9.128008969128132e-06,8199.288256227757,0.031169460038654506,,0.009807394002564251,0.0036183380289003253,0.00178958207834512,0.0037011069944128394,0.011037334916181862,81369.70081166552,0.23809053548321304,341759.493490671,331931.50374861987
traffic_tsvdmii_0.25_dct_0321_64,True,traffic,tsvdmii,0.25,dct,0321,64,tsvdmii,dct,None,0.25,traffic,data/traffic.bin,"(0, 3, 2, 1)","(120, 120, 3, 160)",0.0006741299293935299,8.567003533244133e-06,7170.124481327801,0.03373118385206908,,0.009515590965747833,0.004906031070277095,0.002801392925903201,0.005210650037042797,0.012618235079571605,80683.30506142632,0.23608211797525014,341759.493490671,332099.0148665979
traffic_tsvdmii_0.25_eye_0123_64,False,traffic,tsvdmii,0.25,eye,0123,64,tsvdmii,eye,None,0.25,traffic,data/traffic.bin,"(0, 1, 2, 3)","(120, 160, 3, 120)",2.204091288149357e-06,3.7522055208683014e-05,68.90158198510721,,,0.029813345056027174,0.003300224896520376,0.012835944071412086,0.012048164964653552,,,,,
traffic_tsvdmii_0.25_eye_0321_64,False,traffic,tsvdmii,0.25,eye,0321,64,tsvdmii,eye,None,0.25,traffic,data/traffic.bin,"(0, 3, 2, 1)","(120, 120, 3, 160)",2.544955350458622e-06,3.890495281666517e-05,66.85430751820793,,,0.030329943052493036,0.004794306005351245,0.010437529068440199,0.013738234993070364,,,,,
